external_gene_name	hgnc_symbol	chromosome_name	start_position	end_position	ensembl_gene_id	Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	comp	probe_id	reg
ATN1	ATN1	ATN1	12	6924463	6942321	ENSG00000111676	208871_at	-0.16798626007326	4.36387391176471	-2.06885228768428	0.0461755774700132	0.999964399368847	-3.91446578560819	Rem_Rel	208871_at	up
CELF4	CELF4	CELF4	18	37243040	37565827	ENSG00000101489	232719_at	0.232767604395604	4.15151823529412	2.55509368908281	0.0152260111955549	0.999964399368847	-3.43219489987228	Rem_Rel	232719_at	down
COX7B	COX7B	COX7B	X	77899440	77907376	ENSG00000131174	202110_at	0.235074652014649	11.1863752941176	2.08711286521581	0.0443913761465071	0.999964399368847	-3.89749616094427	Rem_Rel	202110_at	down
DCAF6	DCAF6	DCAF6	1	167935783	168075843	ENSG00000143164	232349_x_at	-0.220731278388278	5.85125879411765	-2.26406051317142	0.0300165503212212	0.999964399368847	-3.72814064925311	Rem_Rel	232349_x_at	up
EDRF1-DT	EDRF1-DT	EDRF1-DT	10	125700436	125719566	ENSG00000224023	239483_at	0.158924765567765	4.49879997058824	2.51987138529586	0.0165659643142766	0.999964399368847	-3.46904623419371	Rem_Rel	239483_at	down
FAM76A	FAM76A	FAM76A	1	27725961	27763116	ENSG00000009780	216897_s_at	-0.154702051282051	3.88260388235294	-2.12928465675095	0.0405012165756941	0.999964399368847	-3.8579326076673	Rem_Rel	216897_s_at	up
FARP1	FARP1	FARP1	13	98142562	98455176	ENSG00000152767	239246_at	-0.15961658974359	2.79544279411765	-2.42275905705989	0.020839060117529	0.999964399368847	-3.5692351581585	Rem_Rel	239246_at	up
FUBP1	FUBP1	FUBP1	1	77944055	77979110	ENSG00000162613	214094_at	-0.231221271062271	4.65107167647059	-2.10323493137236	0.0428668969552875	0.999964399368847	-3.88243226820315	Rem_Rel	214094_at	up
HDAC6	HDAC6	HDAC6	X	48801377	48824982	ENSG00000094631	216224_s_at	-0.294284648351649	5.81571697058824	-2.33918195414613	0.0252950297104953	0.999964399368847	-3.65370068003789	Rem_Rel	216224_s_at	up
IMP3	IMP3	IMP3	15	75639085	75648706	ENSG00000177971	221688_s_at	0.466686355311354	8.12817185294118	2.55855029362235	0.0151000269661257	0.999964399368847	-3.42856424406181	Rem_Rel	221688_s_at	down
KMT2A	KMT2A	KMT2A	11	118436490	118526832	ENSG00000118058	1565436_s_at	-0.333747223443224	3.92966852941176	-2.60765655061231	0.0134108132386766	0.999964399368847	-3.37671815216931	Rem_Rel	1565436_s_at	up
LRRC28	LRRC28	LRRC28	15	99251362	99390729	ENSG00000168904	239471_at	0.259420428571429	3.58685973529412	2.16140684012476	0.0377436890190184	0.999964399368847	-3.82745433829116	Rem_Rel	239471_at	down
